sweep,best_lp,median_lp,best_minus_median,accept,pop_spread,elapsed_s
260,126690.0996,124616.2222,2073.8774,0.0556,2.81408,1811.7
261,126690.0996,124616.2222,2073.8774,0.0000,2.81408,1818.2
262,126690.0996,124616.6924,2073.4072,0.0370,2.81181,1824.5
263,126690.0996,124616.6924,2073.4072,0.0370,2.81465,1830.8
264,126690.0996,124616.6924,2073.4072,0.0185,2.8091,1837.5
265,126870.3360,124616.6924,2253.6436,0.0926,2.82661,1843.5
266,126870.3360,124616.6924,2253.6436,0.0185,2.8378,1850.2
267,126870.3360,124616.6924,2253.6436,0.0185,2.82323,1856.4
268,126870.3360,124616.6924,2253.6436,0.0556,2.83715,1863.3
269,126870.3360,124616.6924,2253.6436,0.0370,2.84243,1869.8
270,126870.3360,124616.6924,2253.6436,0.0556,2.90829,1876.2
271,126870.3360,124616.6924,2253.6436,0.0370,2.92091,1882.3
272,126870.3360,124625.1350,2245.2010,0.0556,2.91483,1888.4
273,126881.2246,124656.6577,2224.5668,0.0556,2.95494,1894.3
274,127165.0400,124706.1818,2458.8582,0.0556,2.95265,1901.2
275,127165.0400,124837.8394,2327.2006,0.0926,3.00997,1907.6
276,127165.0400,124837.8394,2327.2006,0.0370,3.02033,1913.7
277,127165.0400,124844.5691,2320.4709,0.0556,3.01428,1920.1
278,127165.0400,124923.6807,2241.3593,0.0556,3.01572,1926.4
279,127165.0400,124923.6807,2241.3593,0.0000,3.01572,1932.8
280,127165.0400,124949.4775,2215.5625,0.0741,3.01996,1939.0
281,127165.0400,125041.1437,2123.8963,0.0741,3.01744,1945.1
282,127165.0400,125041.1437,2123.8963,0.0185,3.00732,1951.4
283,127165.0400,125064.9597,2100.0803,0.0370,3.0243,1958.2
284,127498.6609,125064.9597,2433.7012,0.0370,3.03058,1964.3
285,127498.6609,125064.9597,2433.7012,0.0000,3.03058,1970.7
286,127498.6609,125064.9597,2433.7012,0.0185,3.03908,1976.8
287,127498.6609,125064.9597,2433.7012,0.0185,3.04856,1983.0
288,127498.6609,125064.9597,2433.7012,0.0000,3.04856,1988.9
289,127498.6609,125064.9597,2433.7012,0.0000,3.04856,1995.3
290,127498.6609,125064.9597,2433.7012,0.0370,3.05337,2001.9
291,127498.6609,125064.9597,2433.7012,0.0741,3.06886,2008.3
