 Date__(UT)__HR:MN     R.A._____(ICRF)_____DEC             delta      deldot  1-way_down_LT
*******************************************************************************************
$$SOE
 2014-Mar-30 00:00     03 46 02.13 +20 18 10.1  1.30027555313418   0.3612927    10.81406202
 2014-Mar-31 00:00     03 50 05.47 +20 29 59.2  1.30047927063955   0.3440397    10.81575629
 2014-Apr-01 00:00     03 54 09.42 +20 41 27.1  1.30067291426403   0.3264334    10.81736677
 2014-Apr-02 00:00     03 58 13.96 +20 52 33.5  1.30085632081087   0.3086162    10.81889212
 2014-Apr-03 00:00     04 02 19.08 +21 03 18.1  1.30102940915224   0.2907272    10.82033165
 2014-Apr-04 00:00     04 06 24.77 +21 13 40.6  1.30119217430417   0.2728893    10.82168533
 2014-Apr-05 00:00     04 10 31.00 +21 23 40.9  1.30134467608846   0.2552037    10.82295365
 2014-Apr-06 00:00     04 14 37.77 +21 33 18.6  1.30148702642616   0.2377501    10.82413754
 2014-Apr-07 00:00     04 18 45.04 +21 42 33.5  1.30161937813634   0.2205913    10.82523827
 2014-Apr-08 00:00     04 22 52.81 +21 51 25.5  1.30174191664627   0.2037783    10.82625740
 2014-Apr-09 00:00     04 27 01.05 +21 59 54.2  1.30185485482589   0.1873558    10.82719667
 2014-Apr-10 00:00     04 31 09.75 +22 07 59.5  1.30195843038813   0.1713657    10.82805809
 2014-Apr-11 00:00     04 35 18.88 +22 15 41.2  1.30205290484996   0.1558486    10.82884381
 2014-Apr-12 00:00     04 39 28.42 +22 22 59.1  1.30213856280890   0.1408434    10.82955620
 2014-Apr-13 00:00     04 43 38.36 +22 29 53.0  1.30221571012996   0.1263842    10.83019782
 2014-Apr-14 00:00     04 47 48.68 +22 36 22.7  1.30228466966817   0.1124947    10.83077133
 2014-Apr-15 00:00     04 51 59.34 +22 42 28.2  1.30234577338202   0.0991815    10.83127952
 2014-Apr-16 00:00     04 56 10.34 +22 48 09.1  1.30239935030791   0.0864268    10.83172510
 2014-Apr-17 00:00     05 00 21.65 +22 53 25.4  1.30244571083509   0.0741831    10.83211067
 2014-Apr-18 00:00     05 04 33.25 +22 58 17.0  1.30248512884677   0.0623716    10.83243850
 2014-Apr-19 00:00     05 08 45.12 +23 02 43.6  1.30251782416957   0.0508848    10.83271042
 2014-Apr-20 00:00     05 12 57.24 +23 06 45.3  1.30254394800076   0.0395941    10.83292769
 2014-Apr-21 00:00     05 17 09.60 +23 10 22.0  1.30256357344606   0.0283595    10.83309091
 2014-Apr-22 00:00     05 21 22.16 +23 13 33.4  1.30257669229363   0.0170413    10.83320001
 2014-Apr-23 00:00     05 25 34.90 +23 16 19.6  1.30258321817706   0.0055103    10.83325429
 2014-Apr-24 00:00     05 29 47.81 +23 18 40.4  1.30258299570406  -0.0063418    10.83325244
 2014-Apr-25 00:00     05 34 00.86 +23 20 35.8  1.30257581492580  -0.0185942    10.83319272
 2014-Apr-26 00:00     05 38 14.03 +23 22 05.9  1.30256143036315  -0.0312898    10.83307308
 2014-Apr-27 00:00     05 42 27.28 +23 23 10.4  1.30253958334370  -0.0444310    10.83289139
 2014-Apr-28 00:00     05 46 40.60 +23 23 49.4  1.30251002559925  -0.0579799    10.83264556
 2014-Apr-29 00:00     05 50 53.95 +23 24 02.9  1.30247254130977  -0.0718633    10.83233382
 2014-Apr-30 00:00     05 55 07.31 +23 23 50.9  1.30242696464444  -0.0859831    10.83195477
 2014-May-01 00:00     05 59 20.64 +23 23 13.4  1.30237319068167  -0.1002288    10.83150754
 2014-May-02 00:00     06 03 33.92 +23 22 10.4  1.30231117916495  -0.1144888    10.83099181
 2014-May-03 00:00     06 07 47.11 +23 20 41.9  1.30224095219858  -0.1286598    10.83040775
 2014-May-04 00:00     06 12 00.19 +23 18 48.0  1.30216258805648  -0.1426510    10.82975601
 2014-May-05 00:00     06 16 13.13 +23 16 28.7  1.30207621351485  -0.1563851    10.82903766
 2014-May-06 00:00     06 20 25.90 +23 13 44.2  1.30198199669807  -0.1697957    10.82825408
 2014-May-07 00:00     06 24 38.47 +23 10 34.4  1.30188014169986  -0.1828240    10.82740698
 2014-May-08 00:00     06 28 50.81 +23 06 59.5  1.30177088549947  -0.1954143    10.82649832
 2014-May-09 00:00     06 33 02.91 +23 02 59.6  1.30165449706118  -0.2075110    10.82553035
 2014-May-10 00:00     06 37 14.72 +22 58 34.7  1.30153127797614  -0.2190567    10.82450557
 2014-May-11 00:00     06 41 26.22 +22 53 45.0  1.30140156351523  -0.2299925    10.82342676
 2014-May-12 00:00     06 45 37.40 +22 48 30.7  1.30126572248291  -0.2402620    10.82229701
 2014-May-13 00:00     06 49 48.23 +22 42 51.8  1.30112415388554  -0.2498186    10.82111962
 2014-May-14 00:00     06 53 58.68 +22 36 48.5  1.30097727839736  -0.2586358    10.81989809
 2014-May-15 00:00     06 58 08.73 +22 30 21.0  1.30082552327735  -0.2667192    10.81863598
 2014-May-16 00:00     07 02 18.37 +22 23 29.4  1.30066930098205  -0.2741156    10.81733672
 2014-May-17 00:00     07 06 27.58 +22 16 13.8  1.30050898397701  -0.2809165    10.81600341
 2014-May-18 00:00     07 10 36.34 +22 08 34.6  1.30034488025714  -0.2872519    10.81463860
 2014-May-19 00:00     07 14 44.64 +22 00 31.8  1.30017721466989  -0.2932769    10.81324417
 2014-May-20 00:00     07 18 52.46 +21 52 05.6  1.30000611974324  -0.2991531    10.81182121
 2014-May-21 00:00     07 22 59.78 +21 43 16.3  1.29983163700708  -0.3050312    10.81037008
 2014-May-22 00:00     07 27 06.61 +21 34 04.0  1.29965372719151  -0.3110386    10.80889045
 2014-May-23 00:00     07 31 12.91 +21 24 29.0  1.29947228631537  -0.3172712    10.80738146
 2014-May-24 00:00     07 35 18.69 +21 14 31.5  1.29928716469092  -0.3237912    10.80584185
 2014-May-25 00:00     07 39 23.92 +21 04 11.7  1.29909818664701  -0.3306266    10.80427016
 2014-May-26 00:00     07 43 28.59 +20 53 29.9  1.29890516957600  -0.3377738    10.80266489
 2014-May-27 00:00     07 47 32.70 +20 42 26.3  1.29870794135029  -0.3452009    10.80102459
 2014-May-28 00:00     07 51 36.22 +20 31 01.3  1.29850635526199  -0.3528528    10.79934805
 2014-May-29 00:00     07 55 39.14 +20 19 15.0  1.29830030167670  -0.3606572    10.79763436
 2014-May-30 00:00     07 59 41.46 +20 07 07.8  1.29808971581064  -0.3685323    10.79588297
 2014-May-31 00:00     08 03 43.16 +19 54 39.9  1.29787458151116  -0.3763927    10.79409375
 2014-Jun-01 00:00     08 07 44.23 +19 41 51.6  1.29765493152250  -0.3841551    10.79226698
 2014-Jun-02 00:00     08 11 44.66 +19 28 43.2  1.29743084523587  -0.3917416    10.79040331
 2014-Jun-03 00:00     08 15 44.44 +19 15 15.1  1.29720244519411  -0.3990807    10.78850376
 2014-Jun-04 00:00     08 19 43.57 +19 01 27.4  1.29696989360667  -0.4061062    10.78656969
 2014-Jun-05 00:00     08 23 42.03 +18 47 20.6  1.29673338989368  -0.4127550    10.78460275
 2014-Jun-06 00:00     08 27 39.82 +18 32 54.9  1.29649316990887  -0.4189636    10.78260490
 2014-Jun-07 00:00     08 31 36.93 +18 18 10.7  1.29624950704609  -0.4246649    10.78057842
 2014-Jun-08 00:00     08 35 33.37 +18 03 08.3  1.29600271490389  -0.4297866    10.77852591
 2014-Jun-09 00:00     08 39 29.13 +17 47 47.9  1.29575315051842  -0.4342510    10.77645035
 2014-Jun-10 00:00     08 43 24.20 +17 32 10.0  1.29550121636040  -0.4379795    10.77435507
 2014-Jun-11 00:00     08 47 18.58 +17 16 14.8  1.29524735846045  -0.4409019    10.77224380
 2014-Jun-12 00:00     08 51 12.28 +17 00 02.7  1.29499205759909  -0.4429709    10.77012053
 2014-Jun-13 00:00     08 55 05.31 +16 43 33.9  1.29473581117062  -0.4441791    10.76798939
 2014-Jun-14 00:00     08 58 57.65 +16 26 48.8  1.29447910570121  -0.4445731    10.76585444
 2014-Jun-15 00:00     09 02 49.33 +16 09 47.8  1.29422238377767  -0.4442581    10.76371935
 2014-Jun-16 00:00     09 06 40.34 +15 52 31.1  1.29396601258345  -0.4433872    10.76158717
 2014-Jun-17 00:00     09 10 30.70 +15 34 59.0  1.29371026196798  -0.4421399    10.75946016
 2014-Jun-18 00:00     09 14 20.42 +15 17 11.9  1.29345529697887  -0.4406954    10.75733968
 2014-Jun-19 00:00     09 18 09.50 +14 59 10.1  1.29320118471741  -0.4392107    10.75522629
 2014-Jun-20 00:00     09 21 57.96 +14 40 54.0  1.29294791123729  -0.4378082    10.75311988
 2014-Jun-21 00:00     09 25 45.81 +14 22 23.7  1.29269540284861  -0.4365725    10.75101983
 2014-Jun-22 00:00     09 29 33.05 +14 03 39.8  1.29244354729824  -0.4355534    10.74892522
 2014-Jun-23 00:00     09 33 19.70 +13 44 42.4  1.29219221237455  -0.4347710    10.74683493
 2014-Jun-24 00:00     09 37 05.77 +13 25 32.0  1.29194126124773  -0.4342221    10.74474783
 2014-Jun-25 00:00     09 40 51.27 +13 06 08.9  1.29169056480737  -0.4338840    10.74266285
 2014-Jun-26 00:00     09 44 36.21 +12 46 33.5  1.29144001150002  -0.4337192    10.74057906
 2014-Jun-27 00:00     09 48 20.59 +12 26 46.0  1.29118951503062  -0.4336782    10.73849575
 2014-Jun-28 00:00     09 52 04.43 +12 06 46.9  1.29093902008431  -0.4337038    10.73641244
 2014-Jun-29 00:00     09 55 47.73 +11 46 36.4  1.29068850613409  -0.4337334    10.73432898
 2014-Jun-30 00:00     09 59 30.52 +11 26 15.0  1.29043798947937  -0.4337023    10.73224550
 2014-Jul-01 00:00     10 03 12.79 +11 05 43.0  1.29018752385853  -0.4335459    10.73016244
 2014-Jul-02 00:00     10 06 54.56 +10 45 00.7  1.28993720020108  -0.4332002    10.72808056
 2014-Jul-03 00:00     10 10 35.85 +10 24 08.5  1.28968714624102  -0.4326014    10.72600093
 2014-Jul-04 00:00     10 14 16.66 +10 03 06.8  1.28943752675074  -0.4316847    10.72392491
 2014-Jul-05 00:00     10 17 57.00 +09 41 55.8  1.28918854504791  -0.4303810    10.72185419
 2014-Jul-06 00:00     10 21 36.89 +09 20 36.0  1.28894044615726  -0.4286145    10.71979081
 2014-Jul-07 00:00     10 25 16.35 +08 59 07.8  1.28869352152134  -0.4263000    10.71773720
 2014-Jul-08 00:00     10 28 55.38 +08 37 31.3  1.28844811437837  -0.4233437    10.71569621
 2014-Jul-09 00:00     10 32 34.00 +08 15 47.1  1.28820462382173  -0.4196473    10.71367116
 2014-Jul-10 00:00     10 36 12.22 +07 53 55.4  1.28796350429984  -0.4151199    10.71166583
 2014-Jul-11 00:00     10 39 50.07 +07 31 56.7  1.28772525650898  -0.4096959    10.70968439
 2014-Jul-12 00:00     10 43 27.55 +07 09 51.1  1.28749040636365  -0.4033571    10.70773120
 2014-Jul-13 00:00     10 47 04.69 +06 47 39.1  1.28725947198098  -0.3961508    10.70581058
 2014-Jul-14 00:00     10 50 41.51 +06 25 20.9  1.28703292393908  -0.3881935    10.70392643
 2014-Jul-15 00:00     10 54 18.03 +06 02 57.0  1.28681114868346  -0.3796559    10.70208198
 2014-Jul-16 00:00     10 57 54.26 +05 40 27.6  1.28659442523753  -0.3707337    10.70027955
 2014-Jul-17 00:00     11 01 30.24 +05 17 53.0  1.28638292035311  -0.3616152    10.69852052
 2014-Jul-18 00:00     11 05 05.98 +04 55 13.5  1.28617670010379  -0.3524578    10.69680544
 2014-Jul-19 00:00     11 08 41.51 +04 32 29.6  1.28597575115147  -0.3433785    10.69513420
 2014-Jul-20 00:00     11 12 16.84 +04 09 41.4  1.28578000437652  -0.3344544    10.69350622
 2014-Jul-21 00:00     11 15 52.01 +03 46 49.4  1.28558935593171  -0.3257300    10.69192064
 2014-Jul-22 00:00     11 19 27.02 +03 23 53.8  1.28540368373861  -0.3172251    10.69037646
 2014-Jul-23 00:00     11 23 01.90 +03 00 55.1  1.28522285954695  -0.3089422    10.68887259
 2014-Jul-24 00:00     11 26 36.66 +02 37 53.4  1.28504675763188  -0.3008709    10.68740799
 2014-Jul-25 00:00     11 30 11.33 +02 14 49.3  1.28487526132843  -0.2929905    10.68598170
 2014-Jul-26 00:00     11 33 45.93 +01 51 42.9  1.28470826831104  -0.2852721    10.68459286
 2014-Jul-27 00:00     11 37 20.47 +01 28 34.8  1.28454569512800  -0.2776795    10.68324078
 2014-Jul-28 00:00     11 40 54.97 +01 05 25.1  1.28438748117393  -0.2701700    10.68192496
 2014-Jul-29 00:00     11 44 29.44 +00 42 14.3  1.28423359211163  -0.2626955    10.68064510
 2014-Jul-30 00:00     11 48 03.92 +00 19 02.6  1.28408402275001  -0.2552033    10.67940117
