# HJD mag err
2456891.562130 19.699 0.081
2456891.611160 19.610 0.093
2456891.656730 19.763 0.123
2456891.699400 19.782 0.137
2456895.498380 19.786 0.089
2456895.568110 19.640 0.073
2456895.612720 19.559 0.068
2456895.661690 19.475 0.072
2456896.551310 19.526 0.093
2456896.595820 19.668 0.083
2456896.639830 19.785 0.118
2456898.513920 19.597 0.088
2456898.611190 19.571 0.109
2456900.496260 19.398 0.083
2456907.557520 19.525 0.092
2456907.600850 19.604 0.101
2456907.644620 19.642 0.133
2456908.482250 19.645 0.138
2456908.513170 19.376 0.103
2456908.551130 19.542 0.095
2456908.603210 19.835 0.155
2456909.524570 19.381 0.120
2456909.581290 19.517 0.119
2456909.625330 19.411 0.119
2456910.579010 19.331 0.124
2456912.478970 19.558 0.125
2456912.495060 19.476 0.090
2456912.547940 19.668 0.108
2456912.598320 19.740 0.121
2456915.518090 19.498 0.078
2456915.561130 19.915 0.130
2456915.605320 19.671 0.139
2456916.531790 19.571 0.087
2456918.531710 20.090 0.182
2456918.575640 19.734 0.127
2456918.622120 19.472 0.135
2456919.559990 19.676 0.096
2456920.509430 19.452 0.130
2456922.496550 19.727 0.135
2456922.539880 19.865 0.136
2456922.585210 19.798 0.131
2456923.532360 19.756 0.158
2456923.582660 19.819 0.180
2456924.498820 19.581 0.095
2456924.542070 19.663 0.117
2456924.587930 19.380 0.101
2456925.508540 19.584 0.136
2456925.553400 19.989 0.163
2456925.599090 19.817 0.153
2456926.497790 19.541 0.126
2456926.548650 19.564 0.096
2456926.592310 19.805 0.118
2456927.524840 19.942 0.217
2456927.568670 19.377 0.099
2456927.612280 19.736 0.152
2456928.529190 19.443 0.126
2456928.574120 19.825 0.167
2456929.506410 19.750 0.135
2456929.562500 19.646 0.130
2456929.605630 19.918 0.208
2456930.528170 19.583 0.154
2456936.500230 19.538 0.107
2456936.546680 19.272 0.118
2456937.499970 19.541 0.106
2456937.544260 19.731 0.149
2456938.529080 19.323 0.123
2456940.533760 19.638 0.152
2456941.497630 19.591 0.155
2456942.503490 19.532 0.111
2456942.546960 19.313 0.106
2456943.502090 19.452 0.128
2456944.486700 19.605 0.124
2456947.500350 19.456 0.126
2456949.525020 19.425 0.129
2456950.535550 19.513 0.147
2456951.488800 20.150 0.266
2456953.494230 19.537 0.153
2456954.520500 19.542 0.139
2456955.510290 19.681 0.132
2456956.524260 19.503 0.132
2457059.873190 19.375 0.119
2457060.865910 19.476 0.113
