# HJD mag err
2457572.401640 19.265 0.056
2457572.450020 19.274 0.078
2457572.491840 19.167 0.068
2457572.530320 19.188 0.077
2457573.221120 19.536 0.149
2457573.263490 19.206 0.080
2457573.312500 19.310 0.075
2457573.348940 19.277 0.079
2457573.388060 19.255 0.065
2457573.428770 19.305 0.074
2457573.467320 19.266 0.077
2457573.515080 19.275 0.090
2457573.551390 19.290 0.118
2457574.216150 19.283 0.132
2457574.258490 19.306 0.089
2457574.295190 19.256 0.091
2457574.337290 19.075 0.086
2457574.383540 19.244 0.085
2457574.433530 19.169 0.084
2457574.473790 19.237 0.088
2457574.510490 19.338 0.140
2457576.213550 19.476 0.180
2457576.250280 19.929 0.245
2457576.286730 19.339 0.109
2457576.334020 19.333 0.103
2457576.370760 19.262 0.113
2457576.410440 19.289 0.110
2457576.447780 19.499 0.140
2457576.485050 19.363 0.127
2457577.265260 19.324 0.106
2457577.301570 19.366 0.096
2457577.337430 19.327 0.079
2457577.376750 19.384 0.083
2457577.414610 19.251 0.071
2457577.460330 19.277 0.070
2457577.498430 19.416 0.105
2457577.541450 19.299 0.088
2457578.204130 19.151 0.155
2457578.228020 19.174 0.099
2457578.262870 19.380 0.087
2457578.355500 19.378 0.069
2457578.393140 19.322 0.066
2457578.441070 19.254 0.060
2457578.475560 19.368 0.069
2457578.512240 19.335 0.070
2457578.515660 19.289 0.073
2457578.562060 19.378 0.089
2457579.204380 19.188 0.139
2457579.218900 19.324 0.103
2457579.259390 19.352 0.079
2457579.294850 19.243 0.070
2457579.331250 19.370 0.078
2457579.369250 19.366 0.075
2457579.420400 19.326 0.073
2457579.458040 19.267 0.074
2457579.501130 19.287 0.100
2457579.536230 19.358 0.133
2457579.539160 19.435 0.135
2457580.202250 19.262 0.166
2457580.237530 19.545 0.150
2457580.282080 19.407 0.099
2457580.329830 19.416 0.112
2457580.367450 19.424 0.084
2457580.408860 19.317 0.084
2457580.445700 19.553 0.107
2457580.481980 19.340 0.099
