# HJD mag err
2457595.798089 19.680 0.208
2457595.831457 19.663 0.161
2457597.920795 19.479 0.214
2457597.960942 19.871 0.222
2457598.799158 19.862 0.196
2457598.834356 19.710 0.153
2457598.868123 19.548 0.156
2457598.969937 19.739 0.121
2457600.873760 19.751 0.154
2457600.959604 19.694 0.144
2457601.022529 19.703 0.197
2457602.036240 19.641 0.130
2457602.136323 19.844 0.249
2457607.082315 19.685 0.145
2457607.115673 19.827 0.167
2457607.862927 19.760 0.183
2457607.930981 19.750 0.141
2457607.970638 19.545 0.131
2457608.004016 19.696 0.194
2457608.952323 19.457 0.164
2457609.909959 19.851 0.174
2457609.946026 19.764 0.163
2457609.979364 19.713 0.145
2457610.107614 19.409 0.162
2457610.996264 20.017 0.213
2457613.990533 19.354 0.206
2457616.870423 19.427 0.263
2457616.905071 19.583 0.135
2457616.941228 19.813 0.170
2457616.976895 19.452 0.135
2457617.890567 19.544 0.248
2457617.926554 19.814 0.228
2457619.809742 19.830 0.230
2457619.843089 19.664 0.155
2457619.876456 19.558 0.242
2457619.911053 19.523 0.151
2457619.947000 19.552 0.154
2457622.874552 20.056 0.225
2457622.910629 19.827 0.155
2457622.946286 19.740 0.121
2457623.984943 19.737 0.223
2457625.809118 19.804 0.158
2457625.844764 19.598 0.206
2457625.879931 19.623 0.124
2457625.909539 20.011 0.167
2457625.942885 19.955 0.200
2457627.848181 20.033 0.228
2457627.925474 19.886 0.168
2457628.011466 19.804 0.148
2457629.815198 19.775 0.176
2457629.848585 19.671 0.132
2457629.923248 19.719 0.148
2457630.012520 19.825 0.155
2457630.045906 19.478 0.130
2457630.960831 19.457 0.235
2457631.845817 19.548 0.150
2457631.884124 19.715 0.159
2457631.991234 19.887 0.216
2457636.826312 19.633 0.129
2457636.860898 19.761 0.117
2457636.968758 19.493 0.236
2457641.824376 19.795 0.293
2457642.015087 19.584 0.274
2457642.852505 19.580 0.231
2457642.879903 19.905 0.279
2457646.827305 19.590 0.154
2457646.894048 19.471 0.171
2457650.828741 19.570 0.238
2457652.945683 19.473 0.217
2457654.931288 19.735 0.129
