# HJD mag err
2457576.675200 19.231 0.055
2457576.723320 19.316 0.083
2457576.758570 19.287 0.074
2457576.800590 19.484 0.109
2457584.490700 19.355 0.135
2457584.533500 19.205 0.113
2457584.568900 19.245 0.110
2457584.616520 19.322 0.108
2457584.656490 19.302 0.089
2457584.691790 19.538 0.136
2457584.747050 19.349 0.122
2457584.784460 19.796 0.221
2457585.462540 19.274 0.175
2457585.503190 19.167 0.118
2457585.539380 19.392 0.122
2457585.576290 19.258 0.119
2457585.624840 19.421 0.141
2457585.667130 19.404 0.157
2457585.712330 19.431 0.145
2457586.714010 19.321 0.238
2457586.758020 19.351 0.241
2457587.539470 19.495 0.272
2457587.580860 19.431 0.188
2457587.695100 19.445 0.212
2457589.644900 19.636 0.168
2457589.754190 19.620 0.185
2457590.472210 19.513 0.139
2457590.496310 19.471 0.096
2457590.555110 19.419 0.089
2457590.590740 19.407 0.100
2457590.630300 19.546 0.089
2457590.676640 19.243 0.091
2457590.759300 19.509 0.139
2457591.479220 19.363 0.077
2457591.521450 19.508 0.081
2457591.558030 19.489 0.069
2457591.605030 19.492 0.101
2457591.650560 19.372 0.083
2457591.685620 19.482 0.079
2457591.733560 19.364 0.129
2457591.768930 19.869 0.276
2457593.482300 19.568 0.127
2457593.534290 19.500 0.084
2457593.570480 19.707 0.096
2457593.607260 19.318 0.129
2457593.655860 19.342 0.111
2457593.690810 19.522 0.091
2457595.544340 19.512 0.143
2457595.585410 19.359 0.108
2457595.628120 19.628 0.129
2457595.675830 19.510 0.139
2457595.711730 19.686 0.141
2457595.748820 19.448 0.132
2457596.490030 19.393 0.103
2457596.513690 19.549 0.107
2457596.548830 19.405 0.117
2457596.593900 19.334 0.217
2457597.467880 19.387 0.147
2457597.537770 19.449 0.092
2457597.573480 19.470 0.087
2457597.621470 19.387 0.087
2457597.656510 19.465 0.107
2457597.695930 19.429 0.083
2457597.744160 19.512 0.113
2457598.477580 19.836 0.143
2457598.511820 19.495 0.107
2457598.559830 19.507 0.088
2457598.599960 19.626 0.092
2457598.635260 19.418 0.113
2457598.686170 19.397 0.078
2457598.722370 19.306 0.160
2457598.771550 19.553 0.144
2457599.469680 19.377 0.090
2457599.491730 19.506 0.079
2457599.533420 19.590 0.071
2457599.568080 19.460 0.078
2457599.619640 19.498 0.061
2457599.656540 19.595 0.078
2457599.695280 19.488 0.090
2457599.744040 19.542 0.093
2457600.476190 19.465 0.073
2457600.519390 19.509 0.062
2457600.564210 19.637 0.098
2457600.609950 19.534 0.073
2457600.651860 19.394 0.112
2457601.488590 19.583 0.111
2457601.503050 19.583 0.110
2457601.538550 19.603 0.088
2457601.594740 19.402 0.155
2457601.631200 19.585 0.112
2457601.673900 19.263 0.086
2457601.712890 19.566 0.119
2457602.476380 19.457 0.107
2457602.491060 19.681 0.128
2457602.537170 19.493 0.086
2457602.572660 19.524 0.082
2457602.613360 19.522 0.106
2457602.660370 19.460 0.077
2457602.669110 19.514 0.075
2457602.705980 19.516 0.088
2457603.493460 19.480 0.081
2457603.528830 19.526 0.063
2457603.564170 19.507 0.064
2457603.611730 19.526 0.065
2457603.647010 19.439 0.064
2457603.691060 19.486 0.066
2457603.729680 19.547 0.086
2457605.478780 19.433 0.075
2457605.519300 19.538 0.061
2457605.554090 19.509 0.070
2457605.605210 19.468 0.065
2457605.640990 19.457 0.074
2457605.676440 19.496 0.073
2457606.493140 19.412 0.079
2457606.540770 19.430 0.088
2457606.579590 19.495 0.080
2457606.626110 19.421 0.082
2457606.673080 19.495 0.093
2457606.708160 19.462 0.089
2457607.482500 19.501 0.066
2457607.523010 19.482 0.072
2457607.559160 19.607 0.082
2457607.615220 19.461 0.068
2457607.651480 19.536 0.079
2457607.687470 19.480 0.089
2457608.475020 19.582 0.083
2457608.512850 19.525 0.080
2457608.559490 19.580 0.078
2457608.604540 19.508 0.071
2457608.641620 19.482 0.078
2457608.703090 19.559 0.086
2457608.740620 19.361 0.091
2457609.476000 19.449 0.073
2457609.515060 19.507 0.067
2457609.576230 19.525 0.065
2457609.611620 19.502 0.074
2457609.662170 19.445 0.071
2457609.701270 19.513 0.081
2457610.480070 19.672 0.168
2457610.527470 19.591 0.090
2457610.567870 19.527 0.062
2457610.615520 19.569 0.079
2457610.665250 19.530 0.099
2457610.700570 19.551 0.102
2457611.494950 19.457 0.130
2457611.608730 19.595 0.113
2457611.645080 19.794 0.157
2457611.696790 19.497 0.116
2457612.478820 19.448 0.097
2457612.521190 19.514 0.100
2457612.562360 19.424 0.086
2457612.600950 19.485 0.093
2457612.648530 19.448 0.100
2457612.683800 19.446 0.118
2457612.720140 19.390 0.108
2457613.469640 19.435 0.147
2457613.517350 19.641 0.124
2457613.559920 19.433 0.118
2457613.644340 19.352 0.148
2457613.679590 19.436 0.162
2457613.725770 19.379 0.162
2457614.472790 19.549 0.217
2457614.547270 19.780 0.244
2457614.604710 19.519 0.216
2457614.655760 19.123 0.164
2457615.493570 19.357 0.130
2457615.530550 19.113 0.199
2457615.658580 19.446 0.147
2457615.703820 19.386 0.196
2457616.472980 19.507 0.125
2457616.512660 19.430 0.117
2457616.559500 19.622 0.098
2457616.605220 19.454 0.088
2457616.640530 19.664 0.113
2457616.688840 19.640 0.130
2457617.501670 19.649 0.186
2457617.544330 19.488 0.080
2457617.583470 19.419 0.081
2457617.620330 19.512 0.084
2457617.682190 19.418 0.103
2457618.497520 19.556 0.092
2457618.533440 19.563 0.085
2457618.581460 19.388 0.080
2457618.616520 19.519 0.088
2457618.660080 19.676 0.121
2457619.470660 19.354 0.109
2457619.507740 19.407 0.105
2457619.560420 19.558 0.157
2457619.596530 19.848 0.209
2457619.632210 19.474 0.146
2457619.680760 19.701 0.164
2457620.489090 19.520 0.137
2457620.536650 19.767 0.189
2457620.661170 19.590 0.159
2457621.472010 19.505 0.109
2457621.514850 19.750 0.137
2457621.556690 19.405 0.083
2457621.593580 19.386 0.109
2457621.642650 19.607 0.105
2457621.680280 19.544 0.104
2457622.506060 19.630 0.080
2457622.559130 19.591 0.096
2457622.594650 19.562 0.103
2457622.637230 19.567 0.113
2457622.677410 19.667 0.148
2457623.500470 19.585 0.075
2457623.550660 19.525 0.084
2457623.587280 19.454 0.079
2457623.622800 19.482 0.094
2457623.669470 19.764 0.154
2457624.500370 19.438 0.136
2457624.552760 19.573 0.108
2457624.590440 19.514 0.097
2457624.626080 19.614 0.113
2457624.676720 19.980 0.185
2457625.499440 19.545 0.090
2457625.548670 19.473 0.093
2457625.589690 19.395 0.091
2457625.626160 19.396 0.081
2457625.672960 19.572 0.101
2457626.498160 19.608 0.095
2457626.534840 19.526 0.079
2457626.582140 19.473 0.080
2457626.629370 19.642 0.116
2457626.673240 19.665 0.115
2457628.517020 19.083 0.169
2457628.518580 19.159 0.190
2457629.504470 19.573 0.135
2457629.613610 19.354 0.106
2457629.650240 19.554 0.117
2457630.494770 19.523 0.081
2457630.542000 19.495 0.068
2457630.585290 19.512 0.065
2457630.630410 19.452 0.066
2457631.483580 19.599 0.074
2457631.523890 19.525 0.070
2457631.577070 19.429 0.098
2457631.612380 19.700 0.123
2457631.653100 19.507 0.108
2457632.586830 19.621 0.077
2457632.625340 19.537 0.093
2457632.674930 19.601 0.108
2457632.677070 19.588 0.095
2457633.511270 19.740 0.137
2457633.549760 19.678 0.117
2457633.595940 19.756 0.123
2457633.633930 19.623 0.122
2457635.490720 19.426 0.131
2457635.530870 19.662 0.139
2457635.567470 19.381 0.114
2457635.618130 19.418 0.107
2457635.654620 19.387 0.116
2457636.512570 19.466 0.101
2457636.560540 19.414 0.103
2457636.606440 19.692 0.148
2457636.649810 20.010 0.201
2457637.509610 19.546 0.073
2457637.545170 19.528 0.073
2457637.592940 19.497 0.099
2457637.627970 19.520 0.119
2457638.516900 19.617 0.142
2457638.581550 19.494 0.088
2457638.624470 19.596 0.126
2457639.476490 19.607 0.136
2457639.513320 19.414 0.087
2457639.549010 19.547 0.090
2457639.595160 19.535 0.085
2457639.630180 19.707 0.104
2457640.475160 19.575 0.157
2457640.518710 19.552 0.112
2457640.594600 19.747 0.147
2457641.476680 19.757 0.217
2457641.513330 19.317 0.136
2457641.525050 19.535 0.156
2457641.560750 19.654 0.184
2457641.607590 19.623 0.204
2457642.486260 19.447 0.115
2457642.529190 19.734 0.199
2457642.569690 19.335 0.123
2457642.608030 19.346 0.179
2457642.609500 19.321 0.168
2457643.519480 19.392 0.104
2457643.555030 19.667 0.154
2457643.590510 19.441 0.131
2457644.486030 19.468 0.152
2457644.522090 19.264 0.147
2457644.568080 19.461 0.169
2457645.493210 19.566 0.185
2457645.539870 19.578 0.150
2457645.575480 19.547 0.145
2457645.611060 19.721 0.192
2457647.513570 19.590 0.108
2457647.548570 19.409 0.101
2457647.597000 19.694 0.161
2457648.505780 19.437 0.085
2457648.542910 19.520 0.088
2457648.589730 19.425 0.098
2457649.506440 19.560 0.095
2457649.549280 19.357 0.104
2457649.593520 19.925 0.203
2457650.502150 19.684 0.126
2457650.563210 19.524 0.151
2457650.600770 19.848 0.200
2457651.508550 19.619 0.132
2457651.557030 19.508 0.111
2457651.593390 19.444 0.122
2457653.504070 19.443 0.087
2457653.549200 19.704 0.123
2457653.588830 19.701 0.134
2457654.528020 19.555 0.104
2457654.576480 19.540 0.098
2457655.507410 19.449 0.091
2457655.555390 19.445 0.088
2457655.591140 19.633 0.118
2457656.493830 19.594 0.103
2457656.529590 19.373 0.092
2457656.577630 19.605 0.112
2457657.523590 19.456 0.082
2457657.570940 19.597 0.096
2457658.512020 19.628 0.096
2457658.554560 19.581 0.103
2457659.537480 19.551 0.099
2457660.553050 19.479 0.097
2457661.499380 19.549 0.096
2457661.542290 19.490 0.088
2457662.490490 19.477 0.097
2457662.527040 19.678 0.117
2457662.537340 19.542 0.094
2457663.504430 19.530 0.083
2457663.543180 19.513 0.074
2457663.554940 19.541 0.096
2457664.513060 19.472 0.113
2457664.560790 19.591 0.135
2457666.522550 19.560 0.103
2457667.503450 19.575 0.094
2457667.545170 19.576 0.103
2457668.517640 19.641 0.136
2457669.507400 19.552 0.118
2457669.542550 19.453 0.116
2457670.531100 19.480 0.105
2457671.537200 19.370 0.104
2457673.515000 19.596 0.105
2457675.487610 19.575 0.136
2457675.531180 19.627 0.161
2457676.529480 19.620 0.183
